UNIPROT_ID,PMID
P08631,"['', '8132624', '8064233', '7535819', '7791757', '9406996', '8995234', '9218412', '9407116', '10092522', '10779760', '10644735', '10973280', '11278465', '11518702', '12411494', '11741929', '11904303', '11896602', '15010462', '15952790', '15998323', '16849330', '17535448', '17310994', '19807924', '19114024', '19718658', '19369195', '19903482', '20452982', '18538446', '21338576', '24275569', '25469238', '25944712', '9109402', '9024658', '9778343', '9571048', '10360180', '16216497', '16997556', '17141806', '20810664', '21625496', '21477083', '17344846']"
Q86DI9,[]
P51168,"['1939532', '7499195', '9169421', '11244092', '12167593', '16423824', '18634878', '20064610', '22207244', '22493497', '24124190', '23547933', '24043776', '26772908', '7550319', '8524790', '8601645', '8589714', '9674649', '9626162', '9794716', '10404817', '12714866', '15853823', '16207733', '15483078', '16959974', '18507830', '19017867']"
P28221,"['1828434', '10452531', '18476671', '20945968', '10391209']"
P08172,"['7822302', '16548883', '15229186', '20976005', '22278061', '24256733']"
P63252,"['12032359', '19608980', '25043870', '11371347', '12148092', '12163457', '15922306', '15761194', '16571646', '17324964']"
O00444,"['16326102', '16244668', '15967108', '17681131', '18239451', '18691976', '18669648', '19164942', '19454482', '19369195', '21059844', '20852615', '22020124', '21725316', '23186163', '25344692', '27246242', '27796307', '30804208', '17344846']"
P00519,"['2542016', '2183353', '9037071', '9144171', '9461559', '10194451', '10391250', '10325413', '11114745', '11374898', '12379650', '11971963', '12475393', '12531427', '12672821', '12775773', '15302586', '15556646', '15031292', '15686624', '15886098', '15657060', '15696159', '17081983', '16648821', '16912036', '16943190', '16678104', '17306540', '17623672', '18161990', '18328268', '18945674', '18775435', '18691976', '18669648', '18182299', '19413330', '19891780', '19369195', '19381274', '19690332', '20417104', '20861316', '20841568', '21269460', '23006999', '23186163', '24275569', '28428613', '1505033', '1281542', '7892170', '8590002', '9698566', '12384576', '12654251', '16424036', '16543148', '16640460', '17164530', '17452790', '19906645', '20357770', '15361874', '17344846', '28288113']"
P18507,"['9892355', '23909897', '25489750', '27864268', '29950725', '11326274', '11326275', '16924025', '20485450', '21714819', '23708187', '27864847']"
Q03181,"['15604518', '10198642', '10809235', '16931011', '16405912', '16387648', '17560785', '18722772', '19622862', '19464171', '19116277']"
P34903,['26613940']
Q15139,"['10523301', '10764790', '12893243', '12505989', '12637538', '15471852', '15024053', '17703233', '17804414', '17442957', '18076381', '18332134', '18509061', '19413330', '19135240', '19211839', '11978539', '15701647', '18239146', '19369195', '19655095', '21357900', '21406692', '24623306', '16959974', '17344846', '27479907']"
Q9Y251,"['10395326', '11123890', '12441129', '12213822', '11973358', '12927802', '12773484', '14573609', '15044433', '15292202', '15126626', '15848168', '15659389', '15760902', '16452201', '16263699', '18557927', '18798279', '19244131', '19159218', '20097882', '20634491', '20561914', '20181948', '20576607', '20309870', '21131364', '26575439', '26733221', '28581485', '15334672']"
O00408,"['19632989', '19369195', '20213681', '24705027', '28463107', '15938621', '19828435', '23899287']"
O14965,"['9606188', '10851084', '11039908', '11551964', '12576638', '12390251', '11790771', '13678582', '14523000', '14603251', '15147269', '14990569', '26341884', '15128871', '14702041', '15966895', '16246726', '15987997', '16890155', '18056443', '17604723', '17488622', '17229885', '17726514', '17360485', '18691976', '18615013', '19812038', '19351716', '19668197', '19357306', '20643351', '20596670', '20460379', '21269460', '21225229', '14625535', '19774610', '22014574', '21242313', '23213400', '22753416', '25657325', '25986610', '27335426', '28112733', '28218735', '30538148', '12237287', '12467573', '14580337', '16337122', '17125279', '18662907', '19801554', '19140666', '19402633', '27837025', '15867347', '16011022', '16762494', '17344846', '26246606', '', '']"
P54284,"['12181424', '19807924', '29742403']"
P52333,"['8022485', '7662955', '7535338', '10899310', '12200137', '11909529', '12351625', '15121872', '15592455', '18250158', '19290934', '19369195', '19690332', '20440074', '15831699', '7659163', '9354668', '9753072', '10982185', '14615376', '17344846']"
P14543,"['16574105', '24275569', '16959974']"
P61024,"['21269460', '22814378', '7791211', '8601310']"
P28472,"['18281286', '22243422', '25489750', '24909990', '12189488', '18514161', '22303015', '23934111', '25356899', '27476654', '26950270', '26993267', '28544625', '27864847']"
Q13183,['17470169']
Q08462,"['11549699', '15385642', '21228062']"
Q9UHD2,"['11839743', '14530355', '12692549', '12702806', '14560022', '14703513', '14739303', '15485837', '15489227', '15367631', '16281057', '15841462', '16155125', '17018283', '17599067', '18583960', '18636086', '18691976', '19419966', '19153231', '19369195', '19483718', '19416887', '20628368', '21145761', '20375222', '20174559', '21269460', '21447600', '21903422', '21813773', '21270402', '21931631', '21464307', '21617041', '21042276', '21138416', '22750291', '22306015', '22851595', '22945920', '22388039', '23186163', '25943890', '25736436', '26513235', '25803835', '25636800', '27103069', '26611359', '27776110', '28011935', '28871090', '28904192', '28373913', '30354798', '29251827', '31320558', '32979938', '32404352', '32366851', '32972995', '23453971', '23453972', '23746807', '30842653', '17344846']"
Q04912,"['7687741', '8062829', '7939629', '9764835', '10222149', '10514476', '12472665', '12802274', '12676986', '15184888', '15632155', '18836480', '21269460', '21784853', '20726546', '22848655', '17344846', '26951679']"
Q15569,"['11555644', '12027893', '15584898', '15817463', '17974561', '18216281', '25849865', '30115939', '16959974', '17344846']"
Q92772,"['29420175', '17344846']"
P48048,"['10889209', '14623317', '12684516', '16357011', '8841184', '9002665', '9727001', '16959974']"
Q99829,"['12522145', '12949241', '14674885', '18212740', '19539605', '19608861', '21087455', '21269460', '23263657', '25450385']"
P04629,"['1850821', '1849459', '1281417', '8325889', '7510697', '8155326', '11244088', '15488758', '21102451', '22649032', '26446845', '27445338', '28177573', '8524391', '10388563', '10490030', '17196528', '8696348', '10090906', '10330344', '10443680', '10233776', '10391209', '10861667', '1002/1096-8628(20000619)92:5<353::aid-ajmg12>3.0.co;2-c', '10982191', '10567924', '1002/(sici)1097-4652(200001)182:1<127::aid-jcp14>3.0.co;2-0', '11310631', '11159935', '17344846', '18077166', '22302274', '28328124', '27676246']"
Q16647,"['12372404', '15115769', '17459323', '25623425', '17020766', '18032380']"
P46059,"['18367661', '19685173', '12436193', '16258023']"
O14920,"['17116858', '9819420', '9751059', '10356400', '10022904', '10195894', '10848580', '10783893', '11297557', '12133833', '11971985', '12612076', '15084260', '14739303', '15456791', '15173580', '15184672', '15951441', '16207722', '16267042', '16177806', '17114296', '16728640', '16497931', '17287217', '17684021', '17213322', '10712233', '18626576', '18691976', '18669648', '19413330', '19716809', '18930133', '19369195', '19690332', '20434986', '19675099', '20410276', '20797629', '20068231', '21269460', '21138416', '23091055', '23453969', '23776175', '23186163', '23090968', '24369075', '24275569', '25326418', '26334375', '25944712', '26296658', '27426725', '29748387', '30337470', '18462684', '16959974', '17344846']"
Q86UW1,"['16317684', '16269519', '16251721']"
P05120,"['1286667', '14732874', '21269460', '10368272', '10391209']"
O95298,"['12611891', '21269460', '25944712', '27626371']"
Q9Y5Y6,"['10373425', '16007225', '16407223', '18843291', '21269460', '11696548', '17273967']"
Q8N5S9,"['12935886', '18691976', '18669648', '20068231', '22814378', '23186163', '24275569', '17344846']"
Q8N1Q1,"['14600151', '18618712']"
P09874,"['17177976', '2109322', '2123876', '2121735', '1505517', '7852410', '9315851', '9518481', '10467406', '15044383', '16904257', '17396150', '17525332', '18172500', '18669648', '19344625', '19779455', '19764761', '19710015', '19690332', '19661379', '19608861', '20064938', '20068231', '20106667', '21269460', '21266351', '21577210', '21799911', '21406692', '22863007', '22002106', '22814378', '23966166', '23186163', '23230272', '24275569', '25043379', '25218447', '25114211', '25772364', '25755297', '27067600', '27471034', '27257257', '28190768', '29220653', '28112733', '30257210', '29954836', '30356214', '33186521', '32028527', '26344098', '16959974']"
O14936,"['19012874', '23186163', '24275569', '9546224', 'RYLATIO', '18423203', '17344846', '19165920', '19200522', '19377476', '23662938', '', 'Require']"
P0DP23,"['7093203', '9804419', '14654843', '12871148', '16127172', '15746192', '15592455', '16760425', '17719545', '18165683', '18650434', '18669648', '19413330', '19690332', '19608861', '20466722', '20086014', '21269460', '21406692', '23109337', '22223895', '22484487', '22814378', '23186163', '24275569', '24129315', '25944712', '28890335', '28112733', '30021165', '30287853', '31155282', '9927666', '11685248', '1474585', '7803388', '11807546', '12485993', '12577052', '16299511', '15719022', '21167176', '23893133', '25441029', '27564677', '27876793', '23607618', '31330532', '23040497', '23388215', '25036739', '24076290', '26164367', '27516456', '26969752', '27165696', '28158429', '31454269']"
P37231,"['10681503', '10851250', '12039952', '11971969', '15047147', '15687259', '16239304', '16150867', '17101779', '20078863', '20829347', '21047783', '22351778', '23186163', '23525231', '25504154', '30468856', '9813012', '9744270', '', '10882139', 'tr', '11698662', '11587644', '12672231', '15258145', '', '15056000', '15974597', '15976031', '16919947', '16451087', '16640330', '9425261', '9753710', '9806549', '10407229', '10523018', '10394368', '10622252', '12453919', '11788685', '14569127', '15356014', '15562396', 'ime', '', '', '1']"
P49760,"['8910305', '9637771', '10480872', '12705895', '14759258', '18691976', '18669648', '19168442', '19282290', '19369195', '20682768', '23186163', '28289210']"
Q9Y698,"['20805473', '30122377', '21376300']"
P02766,"['4607556', '6300852', '6651852', '6583672', '3135807', '1517749', '12665801', '7474944', '201845', '3714052', '14760718', '16335952', '18221012', '19167329', '24275569', '4216640', '671542', '8382610', '8428915', '7754382', '9818054', '9733771', '9789022', '10052934', '10986125', '10742177', '11560492', '11243784', '12403615', '12820260', '14583036', '14711308', '15735344', '15981995', '16185074', '15826192', '15769474', '16627944', '17175208', '17196219', '18155178', '19021760', '18095641', '18811132', '18662699', '7599630', '6487335', '3722385', '3675594', '2891727', '2161654', '2363717', '1877623', '1656975', '1997217', '2046936', '1570831', '1734866', '1520326', '1520336', '1544214', '1351039', '1301926', '1362222', '1436517', '8352764', '8038017', '8257997', '8095302', '8019560', '8081397', '8089102', '7914929', '8133316', '7910950', '8309582', '7655883', '7850982', '8579098', '9066351', '8990019', '1002/(sici)1098-1004(1997)9:1<83::aid-humu19>3.0.co;2-l', '9605286', '1002/(sici)1096-8628(19980501)77:2<135::aid-ajmg5>3.0.co;2-r', '10036587', '10627135', '1002/(sici)1098-1004(1998)12:1<71::aid-humu15>3.0.co;2-7', '10694917', '1002/(sici)1098-1004(1998)12:2<135::aid-humu9>3.0.co;2-k', '10671063', '9818883', '10211412', '10439117', '10611950', '10529370', '10071047', '10436378', '10842705', '10842718', '10882995', '1002/1097-4598(200007)23:7<1016::aid-mus3>3.0.co;2-w', '11445644', '12557757', '11866053', '12050338', '12771253', '12876326', '15214015', '15478468', '15217993', '17453626', '17577687', '17503405', '17635579', '23317988', '']"
Q9Y5N1,[]
P53350,"['8991084', '11202906', '12207013', '12447691', '12442251', '1002/1615-9861(200211)2:11<1516::aid-prot1516>3.0.co;2-y', '12852856', '12639966', '12738781', '12939256', '12524548', '14654843', '14734534', '15469984', '15070733', '15148369', '16198290', '15661742', '15616186', '16439210', '16760428', '16980960', '16247472', '17081991', '16645325', '17981789', '17218258', '17617734', '17310276', '17376779', '17943598', '17351640', '17495026', '18794143', '18662541', '18329369', '18418051', '18521620', '18331714', '18477460', '18174154', '19029337', '18691976', '19160488', '18615013', '18669648', '19596235', '19473992', '19509060', '19351716', '19369195', '19468300', '19468302', '20671765', '20679239', '20068231', '21269460', '21880710', '21402792', '22753416', '22814378', '24067371', '24018379', '23455152', '23509069', '23186163', '23455478', '25986610', '25503564', '28112733', '30715179', '14532005', '14592974', '17461553', '18005335', '17307877', '18391401', '19597481', '17344846']"
Q08345,"['24509848', '9659899', '12065315', '16337946', '16234985', '18190796', '19401332', '19369195', '20432435', '20093046', '20884741', '21044884', '22483115', '23899692', '24768818', '17344846']"
Q13163,"['7759517', '16728640', '18691976', '19369195', '17344846']"
Q13164,"['9384584', '9790194', '11254654', '11278431', '18669648', '19369195', '23428871', '22869143', '17344846']"
P55011,"['18220336', '18669648', '21613606', '22223895', '23186163', '32081947']"
P13612,"['3033641', '1730718', '9488735', '10604475', '11533025', '15466886', '18635536', '19064666', '19349973', '19690332', '23125415', '24275569', '25398877', '25944712']"
P04278,"['3702459', '3542030', '16335952', '19159218', '1400872', '10675319', '12065592', '7714097', '10391209']"
P05089,"['15546957', '16709924', '19380772', '21269460', '23749634', '24275569', '27043409', '28813417', '16141327', '17562323', '17469833', '18802628', '1463019', '1598908', '7649538', '22959135', '23859858']"
P10646,"['19017259', '2553722', '15340161', '2927510', '8639592', '2271516', '16335952', '21269460', '22144186', '9242660', '9199408', '11772005', '10391209']"
P05129,"['15851033', '16377624', '12417016', '17629453', '18669648', '20596523', '9545390', '10441600', '12644968', '29053796']"
P21728,"['10618483', '21179162']"
P08588,"['12391161', '15358775', '21540189', '10212248', '11052857', '11854867', '31473062']"
Q96GD4,"['11516652', '11756469', '11413462', '11856369', '11784863', '12689593', '12458200', '12686604', '12925766', '14674694', '14610074', '14722118', '15020684', '15249581', '14602875', '15064709', '16179162', '16103226', '16764853', '17617734', '17543862', '17726514', '18691976', '18591255', '18669648', '19995937', '19369195', '20605920', '20562864', '20068231', '20929775', '21269460', '21658950', '20959462', '21225229', '23036704', '22422861', '23186163', '24814515', '27332895', '22920039', '16762494', '17344846']"
Q9P2K8,"['17081983', '18691976', '18669648', '19369195', '19608861', '20068231', '21269460', '21406692', '23186163', '24135949', '24292273', '24310610', '25329545', '26102367', '17344846']"
Q2M3G0,"['15205344', '15899824', '22784549', '22044138', '22675422', '23770371', '24934811', '16959974', '18772397', '25030174']"
P25103,"['11864635', '8384323', '20937248', '15452552']"
Q4U2R8,"['12538807', '14749323', '15145940', '15644426', '15846473', '17038320', '17502342', '15914676', '16164626']"
P16152,"['8421682', '7005231', '1597188', '18449627', '19413330', '21269460', '15799708', '17912391', '18826943', '17344335']"
P33261,"['8095407', '8215410', '11950794', '18577768', '19965576', '20972997', '23959307', '24275569', '23118231', '8195181', '7969038', '9103550', '9732415', '10022751', '10411572', '12464799', '15499191', '15469410', '16141610']"
P98164,"['1400426', '7768901', '10769163', '12508107', '15126248', '15134832', '16143106', '17462596', '17324488', '23825075', '27798286', '23275343', '16959974', '17632512', '21248752', '23992033', '26529358']"
P09769,"['2181286', '1737799', '8327512', '7519620', '8603737', '10739672', '11078731', '12435267', '17164290', '19369195', '17344846']"
P37173,"['1525823', '15340161', '7774578', '8555189', '9865696', '9472030', '11483955', '12941698', '16982625', '18691976', '19369195', '21441952', '23186163', '24275569', '25893292', '11850637', '12121646', '12939140', '18243111', '20207738', '9590282', '10789724', '11212236', '12202987', '15235604', '16027248', '15731757', '16251899', '16959974', '17344846', '19533785', '19883511', '20101701', '20358619', '22113417', '21949523']"
Q59H18,"['12721663', '16959974', '17344846', '24925317']"
Q99250,"['24297919', '24497506', '26894959', '26645390', '28428547', '30765605', '11738931', '11371648', '12243921', '12610651', '15048894', '15028761', '16122630', '16417554', '17021166', '17386050', '18479388', '19783390', '19786696', '20371507', '20956790', '22612257', '22591750', '23195492', '22677033', '23033978', '23550958', '23758435', '23360469', '23662938', '23708187', '23935176', '23827426', '23988467', '24579881', '24659627', '24463883', '24710820', '25772804', '25457084', '25459969', '25818041', '25982755', '26311622', '25969726', '26291284', '26637798', '26138355', '27328862', '26993267', '27159988', '26555645', '28256214', '28709814', '27864847', '28065826', '30415926', '29625812', '29635106', '30062040', '30144217', '30165711', '29844171']"
P00176,"['2539047', '109438', '8142377', '2583091', '19401463']"
P04626,"['10358079', '10805725', '12939402', '15380516', '15210733', '15156151', '16314522', '17081983', '16794579', '16978839', '17554007', '18691976', '18669648', '18719096', '19372587', '20010870', '20937854', '20068231', '21097718', '21555369', '21190959', '21406692', '23186163', '24275569', '26517842', '27134172', '31138794', '10593938', '12444095', '12975581', '12610629', '15093539', '19299620', '20696930', '21454582', '8095488', '15457249', '17344846']"
P35218,"['16807956', '16686544', '17127057', '17314045', '19186056', '19206230', '18618712', '24275569', '24530203']"
O75914,"['ID', '10896954', '11278486', '11741931', '12890786', '20596523', '21177870', '19036346', '', '10946356', '1002/1096-8628(20000814)93:4<294::aid-ajmg8>3.0.co;2-f', '', '12884430', '17344846', '', '', '']"
Q15274,"['24275569', '17868694', '24038671', '26805589', '21269460']"
O15197,"['15340161', '11713248', '12517763', '15955811', '18754880', '19234485', '16959974', '17344846']"
P48443,"['MA', '', 'RG', '17761950', '28167758', '', '', ':28167758)', '', 'ds', '', '', 'Retinoi']"
Q09013,"['1302022', '9490724', '10913253', '10869570', '10699184', '10811636', '11287000', '12832055', '15598648', '15684391', '19514047', '21457715', '21949239', '15583383', '16770013', '19309729', '17344846']"
Q96PY6,"['1002/(sici)1097-0215(19991112)83:4<456::aid-ijc4>3.0.co;2-5', '15604234', '18843199', '18691976', '18669648', '19369195', '20230784', '21211617', '21269460', '23186163', '24275569', '26167768', '17344846', '22499340', '26945885', '27455347']"
P15144,"['7576235', '8102610', '6149934', '1705556', '1350662', '7902291', '8105105', '8887485', '9056417', '9367365', '10605003', '10676659', '11384645', '11559807', '12473585', '12551991', '15084671', '16335952', '19159218', '21269460', '24275569', '25944712', '22932899', '9452074']"
P25101,"['11262386', '25772936', '16959974']"
O96017,"['10724175', '10973490', '11390408', '11298456', '12094328', '11901158', '12402044', '12364621', '12810724', '12717439', '12607004', '15279791', '15342622', '16163388', '16311512', '16481012', '17380128', '17715138', '17101782', '18728393', '18644861', '18317453', '19164942', '20364141', '21269460', '21618645', '22266820', '25361978', '12049740', '16794575', '19782031', '24825908', '10617473', '11461078', '11719428', '12052256', '12454775', '11746983', '12533788', '12610780', '14612911', '15492928', '15535844', '15087378', '15095295', '15239132', '15649950', '15810020', '15818573', '25619829']"
Q00975,"['25296916', '26157024', '30982612', '']"
Q8NI60,"['25498144', '20580948', '21269460', '21296186', '24270420', '25216398', '24218524', '25540914', '25944712', '27499294', '27499296', '17344846', '18319072', '18319074', '22036850', '24048965', '26818466', '27106809']"
P00488,"['2877456', '4811064', '4405643', '16335952', '21742792', '26247044', '7913750', '7660355', '9515726', '9988734', '7913909', '1353995', '9763561', '10391209', '20179087', '24889649', '24286209', '24329762', '27363989']"
O75173,"['10827174', '18718938', '23897278', '18042673']"
Q13237,"['8636133', '24275569', '17344846', '26769964']"
O60658,"['18691976', '18669648', '20068231', '22673573', '23186163', '23509299', '18983167']"
Q8N1C3,[]
P25116,"['8955127', '10079109', '18988770', '22659187', '23186163', '10391209', '8136362']"
P11802,"['9003781', '9106657', '10580009', '15107404', '15241418', '15558030', '16782892', '18827403', '19413330', '19124461', '19075005', '19487459', '19369195', '20399237', '21269460', '27353360', '29127155', '19237565', '19237555', '9311594', '1002/(sici)1097-0215(19970904)72:5<780::aid-ijc13>3.0.co;2-d', '9425228', '17344846']"
Q9BXA7,"['17566264', '19530700', '20729278', '17344846']"
P08684,"['3243766', '3898085', '2732228', '8035341', '7894497', '8968357', '9435160', '10759686', '10681376', '11093772', '11159812', '11555828', '11695850', '11726664', '14559847', '12865317', '15373842', '15764715', '19094056', '18545703', '19103148', '19359404', '20702771', '19965576', '21490593', '21576599', '22773874', '24275569', '26988023', '15258162', '15256616', '10668853', '11714865', '11470997', '11875366', '15469410', '29461981']"
Q8N568,"['16869982', '18075264', '20236041', '23186163', '17344846', '25512093']"
Q05586,"['8316301', '18849881', '27458189', '28126851', '10201407', '26919761', '26875626', '28105280', '21376300', '22833210', '25167861', '25864721', '27164704', '28051072', '28389307', '28228639', '28095420']"
Q13336,"['23219802', '10942407', '10644814', '18980618']"
P18405,['22814378']
O76083,"['16150925', '22328573', '24746902', '25799991', '15210993', '18757755', '19919087', '20121115', '21483814', '22985069', '23025719']"
Q6ZN16,"['19369195', '20362554', '23186163', '17344846']"
P27824,"['1286667', '9188622', '9420286', '12643545', '17081983', '16361248', '17081065', '18088087', '18691976', '18669648', '18318008', '19369195', '19690332', '19608861', '20801878', '20068231', '21269460', '21205830', '21406692', '22314232', '23186163', '23826168', '24275569', '25944712', '29765154', '31735293', '32783947']"
Q13131,"['9857077', '11554766', '11518699', '11602624', '12519745', '14651849', '14976552', '16054095', '15980064', '15866171', '17028174', '17088252', '17711846', '17486097', '18184930', '18403135', '18220336', '18088087', '18439900', '18691976', '18663353', '18669648', '19369195', '19690332', '20074060', '20160076', '20068231', '21460634', '21269460', '21205641', '21680840', '17307971', '17712357', '23088624', '23186163', '24275569', '28561066', '16959974']"
P19320,"['15340161', '16335952', '7531291', '7539925', '15299708']"
P19634,"['1712287', '8068684', '8967452', '8901634', '9688597', '10713111', '11696366', '11350981', '12226101', '12809501', '15035633', '14680478', '17525332', '18088087', '18669648', '19690332', '20068231', '21392185', '21406692', '23186163', '24275569', '30287853', '25205112', '15677483', '16511206', '16710297', '17050540', '30237576']"
P10415,"['1508712', '2250705', '8183370', '9305631', '9395403', '8668206', '11368354', '10567572', '11463391', '12901880', '15733859', '15849194', '15547950', '17090549', '17418785', '18570871', '19706769', '19228691', '20849813', '20889974', '23055042', '23431138', '25609812', '25944712', '31206022', '11248023', '15902208', '17256834']"
P29275,[]
O14976,"['10625686', '18691976', '18669648', '19413330', '19369195', '19690332', '21269460', '21406692', '23186163', '24275569', '17344846']"
P00915,"['4217196', '4625868', '4632246', '4207120', '10550681', '16807956', '16686544', '17127057', '19186056', '19206230', '18618712', '21269460', '24275569', '4622589', '804171', '6430186', '15299369', '8057362', '7932756', '12009884', '16870440', '16506782', '17314045', '17407288', '6781336', '7866410']"
P00749,"['2023947', '6754569', '6749491', '6754572', '3501295', '9151681', '10340997', '10636902', '11384978', '15053742', '14696115', '15988036', '20007542', '24434139', '2536903', '1327118', '8107091', '8591045', '10805774', '16456079', '9065988', '9194591', '18987736']"
Q96RR4,"['12168954', '18691976', '18669648', '21957496', '22814378', '23186163', '24275569', '17344846']"
Q9UI33,"['12536125', '24207120', '24036948', '24776970', '26645915', '25791876', '27224030']"
P22455,"['15340161', '7518429', '8663044', '11433297', '11830541', '16597617', '17623664', '17311277', '18756523', '18480409', '18670643', '20638838', '20683963', '20018895', '20798051', '21349172', '21269460', '21412156', '21653700', '23186163', '24275569', '26675719', '17344846', '15863030', '20094046', '20876804']"
Q16853,"['15242332', '16335952', '17400359', '19588076', '19159218', '19139490', '16046623']"
P24462,"['2492179', '9555064', '11093772', '14559847', '12865317', '17178770']"
Q9UNQ0,"['12477054', '12682043', '15001581', '15807535', '15670731', '15769853', '17686774', '18056989', '18834626', '19506252', '20368174', '20110355', '20332504', '20705604', '22132962', '22246507', '22246505', '23189181', '24312054', '28623970', '31254042', '28554189', '29610494', '30405239', '12111378', '15618737', '12544509', '15838659', '16702730', '31003562']"
Q05397,"['9422762', '9756887', '10655584', '11331870', '11980671', '12221124', '12387730', '15166238', '15561106', '15855171', '15895076', '16452200', '17081983', '16998626', '16964243', '18006843', '17395594', '16927379', '17431114', '18497331', '18292575', '18256281', '18206965', '18657504', '18691976', '18669648', '19413330', '19339212', '19138410', '19787193', '19494199', '19147981', '19118217', '19369195', '20495381', '19917054', '20109444', '20439989', '20037584', '20068231', '21269460', '21454698', '23186163', '23503467', '10354709', '15725728', '16919435', '17968709', '18677107', '19525103', '19224453', '20515733', '20552554', '20101634', '20332118', '21482413', '23509069', '29069646', '31630787', '12005431', '12467573', '14527389', '18339875', '18078954', '17344846']"
Q8IWT1,"['24297919', '17592081', '21051419', '23604097']"
P07333,"['7683918', '7681396', '7845678', '10340379', '12882960', '15117969', '16335952', '16648572', '17121910', '16170366', '18467591', '18814279', '19934330', '19369195', '20156689', '20489731', '20829061', '20504948', '15519852', '16337366', '18687298', '19132917', '24275569', '17132624', '17292918', '18342505', '19193011', '20137931', '17344846', '22197934', '23408870', '24532199', '24336230', '30982609', '30982608']"
Q8IY84,['17344846']
P06276,"['3542989', '20946535', '3115973', '14760718', '16335952', '18203274', '19542320', '19159218', '19139490', '19452557', '22444575', '24275569', '25054547', '12869558', '15667209', '17768338', '17355286', '18975951', '19368529', '23679855', '2915989', '1349196', '1415224', '1611188', '1306123', '7634491', '8680411', '8554068', '9543549', '9388484', '9191541', '9110359', '9694584', '10404729', '11928765', '12881446', '15563885', '15781196', '16788378', '17700357', '18075469', '18300943', '25264279']"
Q86YV6,"['12471243', '17344846']"
Q9NRP7,['17344846']
P46721,"['17301733', '15632119', '16959974']"
P12104,"['14563446', '10070036', '14567680', '9204553', '12809489', '7883976', '12899384']"
Q9P286,"['12860998', '12897128', '16014608', '17064668', '16581795', '18465753', '20564219', '17292838', '17344846']"
P30542,"['16959974', '27134041']"
Q6PHR2,"['', '18691976', '19279323', '19878745', '20643644', '21269460']"
P54756,"['7748564', '9267020', '10375373', '17344846']"
P27448,"['15084291', '14976552', '16980613', '16959763', '18220336', '18691976', '18669648', '19413330', '19369195', '19690332', '21145462', '21269460', '21406692', '23186163', '23666762', '28087714', '17344846', '29771303']"
Q13946,"['15470020', '15994308', '19350606']"
P35913,"['7951329', '8394174', '8595886', '8698075', '8557257', '8956055', '9543643', '22334370']"
Q15842,"['9573340', '20153265', '20558321', '24700710', '28842488', '21836131', '24176758']"
P35558,"['1656199', '20167786', '21726808', '24275569', '30193097', '32322062', '11851336', '14552798', '17532214', '24863970', '26971250', '28216384']"
Q96L34,"['14976552', '16959763', '18254724', '19369195', '23184942', '23400999', '23186163', '23666762', '25123532', '17344846']"
P05186,"['3954357', '1458595', '17566972', '19159218', '21406692', '3174660', '1409720', '8406453', '7833929', '8954059', '9781036', '9452105', '10332035', '10094560', '1002/(sici)1098-1004(1999)13:2<171::aid-humu16>3.0.co;2-t', '10834525', '10679946', '1002/(sici)1098-1004(200003)15:3<293::aid-humu11>3.0.co;2-q', '10690885', '11745997', '11479741', '11438998', '11760847', '11834095', '11999978', '11855933', '12815606', '12920074', '15135428', '15694177', '19500388', '22266140', '23039266', '23688511', '25982064']"
P07332,"['2656706', '7687763', '8955135', '11339827', '11509660', '11994747', '15302586', '15485904', '15867340', '15869408', '16792528', '16455651', '17595334', '18046454', '19382747', '19051325', '19082481', '19001085', '19369195', '20111072', '21622225', '21563194', '24275569', '28463229', '15929003', '18775312', '17344846']"
P16234,"['2554309', '2173144', '1709159', '1646396', '7679113', '8188664', '7535778', '8760137', '8617789', '8940081', '8943348', '10733900', '11095946', '10947961', '10734113', '11297552', '14644164', '12660384', '12522257', '15928335', '17141222', '17604334', '20660204', '21224473', '21596750', '20972453', '9739761', '15207817', '17419949', '18483217', '28403202', '11882663', '14699510', '17087943', '17344846', '25975287']"
Q12852,"['10801814', '19369195', '19690332', '28111074', '17344846']"
Q08257,"['17497241', '19608861', '20103721', '21269460', '21406692', '22814378', '24275569', '25944712']"
Q9H2S1,[]
P35968,"['1417831', '7929439', '9160888', '9837777', '9804796', '10600473', '10037737', '10102632', '10590123', '11387210', '12649282', '12881528', '15026417', '14991896', '15215251', '15962004', '16966330', '17004325', '17303569', '19033661', '19136612', '18936167', '19834490', '20179233', '20224550', '21539813', '20705758', '17002866', '17658244', '18680722', '19230644', '19761875', '20462514', '21779435', '21711246', '21406692', '21893193', '23199280', '23529610', '23792958', '25187647', '26059764', '25825981', '10368301', '15837294', '17253678', '18529047', '20080685', '20145116', '21827946', '11807987', '16959974', '17344846', '18931684']"
Q9H2K8,"['11278723', '17396146', '18691976', '18669648', '19369195', '20949042', '20068231', '21269460', '21406692', '23186163', '24275569', '17344846']"
O43283,"['9353328', '11163770', '11726277', '12492477', '17344846']"
P42685,"['7664264', '18691976', '19345329', '19652529', '24275569', '17344846']"
P07498,"['4018271', '7460900', '10191473']"
P33527,"['8098549', '7961706', '9295302', '9334225', '9281595', '9485377', '10064732', '11114332', '11469806', '11278867', '11278596', '15208328', '15260484', '17081983', '16230346', '17050692', '18691976', '19413330', '19690332', '20068231', '21269460', '21406692', '23186163', '24275569', '16697012', '10835642', '10811882', '11721885', '11139250', '11266082', '18987736', '31273342']"
