DRUGBANK_ID,PMID
DB06543,"['10549711', '2331699', '8352752', '15383472', '10201371', '11760916', '7254945', '6889041', '7188569', '6810084']"
DB01946,"['30725737', '2872322', '3503594', '3740090', '3416517', '6862586', '6529535', '27106837', '2890954', '28270844', '28611661', '4622472']"
DB00013,"['5485142', '793369', '6613843', '6370540', '6368644', '6175810', '1753010', '7426165', '7753695', '1364834', '23148177', '11159805', '21398391', '24489787', '21123845']"
DB01324,['772431']
DB00261,"['9824960', '9280405', '22293344', '7914479']"
DB00001,"['4616423', '7000488', '2407421', '14592561']"
DB01418,"['10632100', '1364383']"
DB01626,[]
DB06695,[]
DB00412,"['15258611', '15564757', '14736787', '19668749', '10665514']"
DB01244,"['90928', '6253826', '12724335']"
DB00661,"['24890609', '6714285', '3366166', '6146679', '11495502', '27667324', '21125979']"
DB06698,"['2858237', '10551055', '12091028', '16979848', '10228376', '12768186', '29446381', '26360893', '25417928', '7097501', '25724645', '7431222', '16379643']"
DB00922,[]
DB01054,[]
DB06406,[]
DB00311,[]
DB01396,"['7924901', None, '12411398', '4584155', '7358814', '6177931', '7050561', '2600796', '2656046', '29262006', '6236822', '15192023', '7308273', '7284051', '30413463']"
DB00266,[]
DB00472,[]
DB11598,['2434790']
DB00407,[]
DB00243,"['1382161', '7601014', '1382157', '10100366']"
DB00436,"['15595665', '8174208', '1468487', '2359502', '2189902', '1974610']"
DB00584,[]
DB00381,"['11024226', '23577032', '28276140', '29573722', '27923166', '22336820', '23090561', '27593335', '29137347', '28496369', '27026772', '18728832', '17472544', '21072278', '22208934', '28986954', '25890012', '26271371']"
DB00622,"['11525233', '1469187', '11395576', '11515708']"
DB01240,"['15613922', '15724697', '16372822', '16611310', '9684795', '18495950']"
DB00973,[]
DB09220,[]
DB02587,[]
DB00555,[]
DB00511,[]
DB08949,"['16401555', '7994864', '11804508', '13129286', '15333514', '17959154', '10551373', '17054386']"
DB00055,[]
DB05266,[]
DB00230,[]
DB13919,"['16961165', '1968323', '2455841', '26177892', '28509722', '25853236', '26528073']"
DB00640,"['16987374', '17544886', '17696974', '17714066']"
DB00946,"['12871538', '15339877', '14585938', '17516699', '17636192']"
DB06209,"['15529064', '15569863', '11910176', '12574572', '15879331', '16133891', '16574922']"
DB15565,"['17126719', '16801067']"
DB00492,[]
DB08814,[]
DB00235,"['30298461', '30656273', '28445600', '26863353', '16478695']"
DB00054,"['2883089', '1094787', '3049092']"
DB01395,"['3701607', '11527645', '23611293', '26351025', '3925741']"
DB00770,"['18485086', '20874669', '23083110', '22783896']"
DB05767,"['18491993', '18473863', '19846028', '19696978', '21554163', '23645472']"
DB13149,"['12818259', '9436179', '22282689', '24936531']"
DB00886,[]
DB12831,[]
DB01203,"['18832478', '21870978']"
DB00695,[]
DB06605,"['17764540', '17869635', '23292752', '20551237', '23408233']"
DB00029,"['27327415', '24669323', '18236637', '28358888', '19300572', None, '29532287', '4150992', '26245698']"
DB00682,[]
DB01136,"['12890149', '12381232', '9421696']"
DB00796,"['6367579', '6997743', '2559484', '2158151', '2557219', '3744129', '12655212', '16757417', '19175499', '17166617', '8707165', '11011804', '11044537']"
DB06154,"['7528134', '9278462', '10348714', '15212562', '20568836', '11011803', '11234669', '14640933', '11556655', '11849226']"
DB09075,[]
DB11827,[]
DB00335,"['21692828', '11673021', '12742309']"
DB00203,[]
DB09154,"['7495071', '8707165', '9158210', '9493587', '10210734', '12627856', '11011806', '12536351', '9108990', '12785206', '20015933', '19726226']"
DB00214,"['19465361', '20184225', '18503633', '18677970', '16939630', '18053020', '15186390', '12649515', '15079004', '16034926', '26256964', '29037010', '1823870']"
DB00594,"['20551239', '30167561', '14755328', '15078212', '17827008']"
DB00270,"['15618677', '8513851', '1493850', '15492767']"
DB00999,"['7906055', '23685229', '23642800', '23769988', '15028566']"
DB14598,"['23590413', '27181936', '28836175', '24569552', '18695749', '23882055']"
DB00808,"['22044316', '26599488', '26219978', '24218053', '25395817']"
DB08907,['22862294']
DB00542,"['14986567', '23347001', '15642562', '15183629', '546424', '18375237', '11122723', '12873710', '27793642']"
DB00975,"['18096568', '20081065', '25792448', '25682085', '26620048']"
DB01345,"['26424038', '21725804', '9364286', '8220900', '2571489', '21725819', '8389715']"
DB09477,"['3936095', '18718822', '1036921']"
DB11166,"['17883701', '25535411', '14530750', '23824037', '26131288']"
DB08931,"['7238564', '6691890', '9638074', '8200415', '1649132', '9109966', '3758148', '7816776']"
DB06081,"['1282168', '12770942', '15102948', '22622455', '8982500', '15953614', '15910878', '1281076', '1282174', '8844437']"
DB00887,"['9007851', '10836731', '10493269', '8667194']"
DB09238,"['3427272', '16565579', '17537876']"
DB01088,"['1881002', '25336921', '10408255']"
DB01119,"['14524737', '7527328', '8387105', '22653165', '9051306']"
DB01427,"['11693466', '15329044']"
DB00678,"['14524738', '12943485', '21458847', '21162606', '17258114', '19954711']"
DB00598,"['26162034', '24090640', '8743336', '3838399']"
DB01166,"['6894333', '6265246', '6264257', '6086387', '21746798', '9461238', '21484090', '8904615']"
DB01021,"['1850465', '2818621', '7408902']"
DB09338,[]
DB00264,"['6301792', '6099737']"
DB04898,['19141163']
DB01612,"['8871458', '1502714', '17515857', '65284']"
DB00498,"['23169609', '29304014', '18996802', '21690265', '29042751']"
DB00790,"['20553955', '16946104', '20053395', '12517949', '26516587', '23190017', '20371637']"
DB08162,"['18096568', '23487517', '19297154', '26170684', '25673997']"
DB00869,"['12738997', '12846439']"
DB01275,"['21786254', '25954127', '27610041', '26717390', '24985053', '27668164', '8012693']"
DB06712,"['12649382', '3104578', '143965', '22911782', '24507023', '23812506']"
DB00722,"['15118541', '24835672', '12193728', '8063724']"
DB08816,"['15385040', '25535411']"
DB00825,"['18046976', '18046974']"
DB00009,"['8841090', '20881019', '2881709', '2422664', '7135402', '14634047', '18948380', '789062']"
DB09231,[]
DB09216,"['26097787', '20699674', '22393325', '26662863', '26380055']"
DB06271,"['23674806', '27455317', '18724413', '29540487', '15405024', '26371733', '2689836', '20721655', '29693633', '26854277', '1181976']"
DB08838,"['4961749', '3121845', '19852620', '3096624', '29889577', '12396676']"
DB00653,['12396676']
DB03904,[]
